direction_id,route_id,service_id,shape_id,trip_id
0,77251991,GENERIC,77251991_shp,77251991_19
1,77251991,GENERIC,77251991_shp,77251991_20
0,77251991,GENERIC,77251991_shp,77251991_21
1,77251991,GENERIC,77251991_shp,77251991_22
0,77251991,GENERIC,77251991_shp,77251991_23
1,77251991,GENERIC,77251991_shp,77251991_24
0,66213358,GENERIC,66213358_shp,66213358_1
1,66213358,GENERIC,66213358_shp,66213358_2
0,66213358,GENERIC,66213358_shp,66213358_3
1,66213358,GENERIC,66213358_shp,66213358_4
0,66213358,GENERIC,66213358_shp,66213358_5
1,66213358,GENERIC,66213358_shp,66213358_6
0,66213358,GENERIC,66213358_shp,66213358_7
1,66213358,GENERIC,66213358_shp,66213358_8
0,66213358,GENERIC,66213358_shp,66213358_9
1,66213358,GENERIC,66213358_shp,66213358_10
0,66213358,GENERIC,66213358_shp,66213358_11
1,66213358,GENERIC,66213358_shp,66213358_12
0,66213358,GENERIC,66213358_shp,66213358_13
1,66213358,GENERIC,66213358_shp,66213358_14
0,66213358,GENERIC,66213358_shp,66213358_15
1,66213358,GENERIC,66213358_shp,66213358_16
0,66213358,GENERIC,66213358_shp,66213358_17
1,66213358,GENERIC,66213358_shp,66213358_18
0,66213358,GENERIC,66213358_shp,66213358_19
1,66213358,GENERIC,66213358_shp,66213358_20
0,66213358,GENERIC,66213358_shp,66213358_21
1,66213358,GENERIC,66213358_shp,66213358_22
0,66213358,GENERIC,66213358_shp,66213358_23
1,66213358,GENERIC,66213358_shp,66213358_24
0,31862590,GENERIC,31862590_shp,31862590_1
1,31862590,GENERIC,31862590_shp,31862590_2
0,31862590,GENERIC,31862590_shp,31862590_3
1,31862590,GENERIC,31862590_shp,31862590_4
0,31862590,GENERIC,31862590_shp,31862590_5
1,31862590,GENERIC,31862590_shp,31862590_6
0,31862590,GENERIC,31862590_shp,31862590_7
1,31862590,GENERIC,31862590_shp,31862590_8
0,31862590,GENERIC,31862590_shp,31862590_9
1,31862590,GENERIC,31862590_shp,31862590_10
0,31862590,GENERIC,31862590_shp,31862590_11
1,31862590,GENERIC,31862590_shp,31862590_12
0,31862590,GENERIC,31862590_shp,31862590_13
1,31862590,GENERIC,31862590_shp,31862590_14
0,31862590,GENERIC,31862590_shp,31862590_15
1,31862590,GENERIC,31862590_shp,31862590_16
0,31862590,GENERIC,31862590_shp,31862590_17
1,31862590,GENERIC,31862590_shp,31862590_18
0,31862590,GENERIC,31862590_shp,31862590_19
1,31862590,GENERIC,31862590_shp,31862590_20
0,31862590,GENERIC,31862590_shp,31862590_21
1,31862590,GENERIC,31862590_shp,31862590_22
0,31862590,GENERIC,31862590_shp,31862590_23
1,31862590,GENERIC,31862590_shp,31862590_24
0,36471080,GENERIC,36471080_shp,36471080_1
1,36471080,GENERIC,36471080_shp,36471080_2
0,36471080,GENERIC,36471080_shp,36471080_3
1,36471080,GENERIC,36471080_shp,36471080_4
0,36471080,GENERIC,36471080_shp,36471080_5
1,36471080,GENERIC,36471080_shp,36471080_6
0,36471080,GENERIC,36471080_shp,36471080_7
1,36471080,GENERIC,36471080_shp,36471080_8
0,36471080,GENERIC,36471080_shp,36471080_9
1,36471080,GENERIC,36471080_shp,36471080_10
0,36471080,GENERIC,36471080_shp,36471080_11
1,36471080,GENERIC,36471080_shp,36471080_12
0,36471080,GENERIC,36471080_shp,36471080_13
1,36471080,GENERIC,36471080_shp,36471080_14
0,36471080,GENERIC,36471080_shp,36471080_15
1,36471080,GENERIC,36471080_shp,36471080_16
0,36471080,GENERIC,36471080_shp,36471080_17
1,36471080,GENERIC,36471080_shp,36471080_18
0,36471080,GENERIC,36471080_shp,36471080_19
1,36471080,GENERIC,36471080_shp,36471080_20
0,36471080,GENERIC,36471080_shp,36471080_21
1,36471080,GENERIC,36471080_shp,36471080_22
0,36471080,GENERIC,36471080_shp,36471080_23
1,36471080,GENERIC,36471080_shp,36471080_24
0,30193232,GENERIC,30193232_shp,30193232_1
1,30193232,GENERIC,30193232_shp,30193232_2
0,30193232,GENERIC,30193232_shp,30193232_3
1,30193232,GENERIC,30193232_shp,30193232_4
0,30193232,GENERIC,30193232_shp,30193232_5
1,30193232,GENERIC,30193232_shp,30193232_6
0,30193232,GENERIC,30193232_shp,30193232_7
1,30193232,GENERIC,30193232_shp,30193232_8
0,30193232,GENERIC,30193232_shp,30193232_9
1,30193232,GENERIC,30193232_shp,30193232_10
0,30193232,GENERIC,30193232_shp,30193232_11
1,30193232,GENERIC,30193232_shp,30193232_12
0,30193232,GENERIC,30193232_shp,30193232_13
1,30193232,GENERIC,30193232_shp,30193232_14
0,30193232,GENERIC,30193232_shp,30193232_15
1,30193232,GENERIC,30193232_shp,30193232_16
0,30193232,GENERIC,30193232_shp,30193232_17
1,30193232,GENERIC,30193232_shp,30193232_18
0,30193232,GENERIC,30193232_shp,30193232_19
1,30193232,GENERIC,30193232_shp,30193232_20
0,30193232,GENERIC,30193232_shp,30193232_21
1,30193232,GENERIC,30193232_shp,30193232_22
0,30193232,GENERIC,30193232_shp,30193232_23
1,30193232,GENERIC,30193232_shp,30193232_24
0,60233001,GENERIC,60233001_shp,60233001_1
1,60233001,GENERIC,60233001_shp,60233001_2
0,60233001,GENERIC,60233001_shp,60233001_3
1,60233001,GENERIC,60233001_shp,60233001_4
0,60233001,GENERIC,60233001_shp,60233001_5
1,60233001,GENERIC,60233001_shp,60233001_6
0,60233001,GENERIC,60233001_shp,60233001_7
1,60233001,GENERIC,60233001_shp,60233001_8
0,60233001,GENERIC,60233001_shp,60233001_9
1,60233001,GENERIC,60233001_shp,60233001_10
0,60233001,GENERIC,60233001_shp,60233001_11
1,60233001,GENERIC,60233001_shp,60233001_12
0,60233001,GENERIC,60233001_shp,60233001_13
1,60233001,GENERIC,60233001_shp,60233001_14
0,60233001,GENERIC,60233001_shp,60233001_15
1,60233001,GENERIC,60233001_shp,60233001_16
0,60233001,GENERIC,60233001_shp,60233001_17
1,60233001,GENERIC,60233001_shp,60233001_18
0,60233001,GENERIC,60233001_shp,60233001_19
1,60233001,GENERIC,60233001_shp,60233001_20
0,60233001,GENERIC,60233001_shp,60233001_21
1,60233001,GENERIC,60233001_shp,60233001_22
0,60233001,GENERIC,60233001_shp,60233001_23
1,60233001,GENERIC,60233001_shp,60233001_24
0,39046676,GENERIC,39046676_shp,39046676_1
1,39046676,GENERIC,39046676_shp,39046676_2
0,39046676,GENERIC,39046676_shp,39046676_3
1,39046676,GENERIC,39046676_shp,39046676_4
0,39046676,GENERIC,39046676_shp,39046676_5
1,39046676,GENERIC,39046676_shp,39046676_6
0,39046676,GENERIC,39046676_shp,39046676_7
1,39046676,GENERIC,39046676_shp,39046676_8
0,39046676,GENERIC,39046676_shp,39046676_9
1,39046676,GENERIC,39046676_shp,39046676_10
0,39046676,GENERIC,39046676_shp,39046676_11
1,39046676,GENERIC,39046676_shp,39046676_12
0,39046676,GENERIC,39046676_shp,39046676_13
1,39046676,GENERIC,39046676_shp,39046676_14
0,39046676,GENERIC,39046676_shp,39046676_15
1,39046676,GENERIC,39046676_shp,39046676_16
0,39046676,GENERIC,39046676_shp,39046676_17
1,39046676,GENERIC,39046676_shp,39046676_18
0,39046676,GENERIC,39046676_shp,39046676_19
1,39046676,GENERIC,39046676_shp,39046676_20
0,39046676,GENERIC,39046676_shp,39046676_21
1,39046676,GENERIC,39046676_shp,39046676_22
0,39046676,GENERIC,39046676_shp,39046676_23
1,39046676,GENERIC,39046676_shp,39046676_24
0,86485651,GENERIC,86485651_shp,86485651_1
1,86485651,GENERIC,86485651_shp,86485651_2
0,86485651,GENERIC,86485651_shp,86485651_3
1,86485651,GENERIC,86485651_shp,86485651_4
0,86485651,GENERIC,86485651_shp,86485651_5
1,86485651,GENERIC,86485651_shp,86485651_6
0,86485651,GENERIC,86485651_shp,86485651_7
1,86485651,GENERIC,86485651_shp,86485651_8
0,86485651,GENERIC,86485651_shp,86485651_9
1,86485651,GENERIC,86485651_shp,86485651_10
0,86485651,GENERIC,86485651_shp,86485651_11
1,86485651,GENERIC,86485651_shp,86485651_12
0,86485651,GENERIC,86485651_shp,86485651_13
1,86485651,GENERIC,86485651_shp,86485651_14
0,86485651,GENERIC,86485651_shp,86485651_15
1,86485651,GENERIC,86485651_shp,86485651_16
0,86485651,GENERIC,86485651_shp,86485651_17
1,86485651,GENERIC,86485651_shp,86485651_18
0,86485651,GENERIC,86485651_shp,86485651_19
1,86485651,GENERIC,86485651_shp,86485651_20
0,86485651,GENERIC,86485651_shp,86485651_21
1,86485651,GENERIC,86485651_shp,86485651_22
0,86485651,GENERIC,86485651_shp,86485651_23
1,86485651,GENERIC,86485651_shp,86485651_24
0,5451532,GENERIC,5451532_shp,5451532_1
1,5451532,GENERIC,5451532_shp,5451532_2
0,5451532,GENERIC,5451532_shp,5451532_3
1,5451532,GENERIC,5451532_shp,5451532_4
0,5451532,GENERIC,5451532_shp,5451532_5
1,5451532,GENERIC,5451532_shp,5451532_6
0,5451532,GENERIC,5451532_shp,5451532_7
1,5451532,GENERIC,5451532_shp,5451532_8
0,5451532,GENERIC,5451532_shp,5451532_9
1,5451532,GENERIC,5451532_shp,5451532_10
0,5451532,GENERIC,5451532_shp,5451532_11
1,5451532,GENERIC,5451532_shp,5451532_12
0,5451532,GENERIC,5451532_shp,5451532_13
1,5451532,GENERIC,5451532_shp,5451532_14
0,5451532,GENERIC,5451532_shp,5451532_15
1,5451532,GENERIC,5451532_shp,5451532_16
0,5451532,GENERIC,5451532_shp,5451532_17
1,5451532,GENERIC,5451532_shp,5451532_18
0,5451532,GENERIC,5451532_shp,5451532_19
1,5451532,GENERIC,5451532_shp,5451532_20
0,5451532,GENERIC,5451532_shp,5451532_21
1,5451532,GENERIC,5451532_shp,5451532_22
0,5451532,GENERIC,5451532_shp,5451532_23
1,5451532,GENERIC,5451532_shp,5451532_24
0,81084863,GENERIC,81084863_shp,81084863_1
1,81084863,GENERIC,81084863_shp,81084863_2
0,81084863,GENERIC,81084863_shp,81084863_3
1,81084863,GENERIC,81084863_shp,81084863_4
0,81084863,GENERIC,81084863_shp,81084863_5
1,81084863,GENERIC,81084863_shp,81084863_6
0,81084863,GENERIC,81084863_shp,81084863_7
1,81084863,GENERIC,81084863_shp,81084863_8
0,81084863,GENERIC,81084863_shp,81084863_9
1,81084863,GENERIC,81084863_shp,81084863_10
0,81084863,GENERIC,81084863_shp,81084863_11
1,81084863,GENERIC,81084863_shp,81084863_12
0,81084863,GENERIC,81084863_shp,81084863_13
1,81084863,GENERIC,81084863_shp,81084863_14
0,81084863,GENERIC,81084863_shp,81084863_15
1,81084863,GENERIC,81084863_shp,81084863_16
0,81084863,GENERIC,81084863_shp,81084863_17
1,81084863,GENERIC,81084863_shp,81084863_18
0,81084863,GENERIC,81084863_shp,81084863_19
1,81084863,GENERIC,81084863_shp,81084863_20
0,81084863,GENERIC,81084863_shp,81084863_21
1,81084863,GENERIC,81084863_shp,81084863_22
0,81084863,GENERIC,81084863_shp,81084863_23
1,81084863,GENERIC,81084863_shp,81084863_24
0,288058,GENERIC,288058_shp,288058_1
1,288058,GENERIC,288058_shp,288058_2
0,288058,GENERIC,288058_shp,288058_3
1,288058,GENERIC,288058_shp,288058_4
0,288058,GENERIC,288058_shp,288058_5
1,288058,GENERIC,288058_shp,288058_6
0,288058,GENERIC,288058_shp,288058_7
1,288058,GENERIC,288058_shp,288058_8
0,288058,GENERIC,288058_shp,288058_9
1,288058,GENERIC,288058_shp,288058_10
0,288058,GENERIC,288058_shp,288058_11
1,288058,GENERIC,288058_shp,288058_12
0,288058,GENERIC,288058_shp,288058_13
1,288058,GENERIC,288058_shp,288058_14
0,288058,GENERIC,288058_shp,288058_15
1,288058,GENERIC,288058_shp,288058_16
0,288058,GENERIC,288058_shp,288058_17
1,288058,GENERIC,288058_shp,288058_18
0,288058,GENERIC,288058_shp,288058_19
1,288058,GENERIC,288058_shp,288058_20
0,288058,GENERIC,288058_shp,288058_21
1,288058,GENERIC,288058_shp,288058_22
0,288058,GENERIC,288058_shp,288058_23
1,288058,GENERIC,288058_shp,288058_24
0,54763879,GENERIC,54763879_shp,54763879_1
1,54763879,GENERIC,54763879_shp,54763879_2
0,54763879,GENERIC,54763879_shp,54763879_3
1,54763879,GENERIC,54763879_shp,54763879_4
0,54763879,GENERIC,54763879_shp,54763879_5
1,54763879,GENERIC,54763879_shp,54763879_6
0,54763879,GENERIC,54763879_shp,54763879_7
1,54763879,GENERIC,54763879_shp,54763879_8
0,54763879,GENERIC,54763879_shp,54763879_9
1,54763879,GENERIC,54763879_shp,54763879_10
0,54763879,GENERIC,54763879_shp,54763879_11
1,54763879,GENERIC,54763879_shp,54763879_12
0,54763879,GENERIC,54763879_shp,54763879_13
1,54763879,GENERIC,54763879_shp,54763879_14
0,54763879,GENERIC,54763879_shp,54763879_15
